"","TIMESTAMP","D19_D","D28_W","D31_D","D33_D","D39_W","D4_W","D43_D","D7_D","D15_W","D25_W"
"143",2023-07-01 23:40:00,8188.585,8178.324,7255.643,6690.534,6966.542,7631.273,7431.103,7828.365,8649.106,9042.028
"144",2023-07-01 23:50:00,8189.716,8181.72,7256.995,6691.892,6967.517,7633.376,7432.079,7829.566,8650.012,9043.914
"145",2023-07-02,8191.603,8183.907,7259.023,6693.853,6969.095,7635.78,7434.107,7831.369,8653.406,9044.971
"146",2023-07-02 00:10:00,8194.62,8186.397,7261.276,6696.871,6971.949,7640.136,7435.909,7832.57,8658.537,9047.461
"147",2023-07-02 00:20:00,8195.752,8187.831,7263.229,6699.436,6975.93,7640.286,7438.463,7833.547,8658.16,9048.365
"148",2023-07-02 00:30:00,8196.732,8190.169,7265.408,6702.755,6980.437,7640.437,7441.318,7835.8,8658.688,9051.534
"149",2023-07-02 00:40:00,8199.298,8190.471,7267.962,6705.32,6983.591,7642.465,7443.12,7838.429,8660.725,9053.798
"150",2023-07-02 00:50:00,8201.709,8193.787,7269.539,6707.767,6985.995,7644.117,7445.674,7840.607,8661.413,9056.685
"151",2023-07-02 01:00:00,8202.901,8195.81,7271.792,6710.188,6988.398,7645.919,7447.853,7842.785,8662.673,9059.559
"152",2023-07-02 01:10:00,8204.886,8197.115,7273.22,6712.245,6990.651,7647.122,7449.956,7844.513,8664.834,9061.479
"153",2023-07-02 01:20:00,8207.424,8200.331,7274.421,6715.446,6992.38,7648.924,7451.908,7846.391,8667.551,9063.917
"154",2023-07-02 01:30:00,8209.525,8201.528,7275.247,6718.108,6994.257,7651.103,7453.936,7848.194,8668.527,9066.041
"155",2023-07-02 01:40:00,8209.868,8203.454,7276.9,6718.887,6995.834,7652.154,7454.987,7850.447,8670.692,9067.075
"156",2023-07-02 01:50:00,8212.088,8203.939,7278.477,6720.874,6997.412,7653.431,7456.189,7850.673,8672.537,9069.072
"157",2023-07-02 02:00:00,8213.229,8206.589,7279.754,6721.863,6998.839,7654.783,7457.767,7852.4,8674.357,9070.969
"158",2023-07-02 02:10:00,8215.57,8207.421,7281.406,6722.62,6999.064,7656.435,7459.495,7852.926,8674.963,9071.726
"159",2023-07-02 02:20:00,8216.1,8209.761,7282.909,6724.129,7000.642,7657.262,7460.17,7855.329,8676.774,9073.084
"160",2023-07-02 02:30:00,8217.005,8209.912,7285.162,6724.884,7002.219,7658.313,7462.349,7856.606,8678.283,9073.16
"161",2023-07-02 02:40:00,8218.967,8211.873,7285.808,6726.167,7003.388,7658.435,7464.423,7857.331,8680.472,9073.235
"162",2023-07-02 02:50:00,8219.269,8213.005,7287.587,6727.901,7003.659,7660.151,7466.659,7859.352,8681.303,9075.046
"163",2023-07-02 03:00:00,8220.627,8214.213,7287.595,6728.128,7004.717,7661.134,7467.867,7860.035,8683.566,9076.178
"164",2023-07-02 03:10:00,8221.985,8214.967,7289.772,6730.014,7005.23,7662.944,7469.591,7862.669,8685,9077.008
"165",2023-07-02 03:20:00,8221.985,8215.947,7291.079,6730.92,7006.527,7665.022,7471.815,7863.488,8686.811,9077.763
"166",2023-07-02 03:30:00,8222.814,8215.947,7291.748,6730.92,7007.272,7665.245,7472.867,7863.941,8687.264,9079.045
"167",2023-07-02 03:40:00,8224.777,8216.325,7292.771,6732.731,7008.737,7667.099,7473.136,7865.194,8689.753,9079.196
"168",2023-07-02 03:50:00,8225.004,8218.891,7293.241,6733.938,7010.403,7668.405,7474.588,7865.904,8692.168,9079.196
"169",2023-07-02 04:00:00,8225.004,8219.721,7294.349,6733.938,7010.906,7669.892,7475.32,7867.015,8693.753,9080.555
"170",2023-07-02 04:10:00,8225.154,8221.456,7295.416,6734.693,7012.199,7671.259,7476.388,7869.135,8695.715,9082.215
"171",2023-07-02 04:20:00,8226.286,8221.985,7296.021,6736.126,7012.804,7671.639,7477.669,7869.966,8696.847,9082.215
"172",2023-07-02 04:30:00,8227.041,8222.891,7296.021,6736.957,7015.058,7671.64,7478.872,7869.966,8699.337,9082.818
"173",2023-07-02 04:40:00,8227.268,8225.004,7296.547,6736.957,7016.56,7671.865,7479.323,7870.116,8699.714,9083.724
"174",2023-07-02 04:50:00,8228.129,8225.111,7297.673,6737.037,7017.086,7673.217,7480.224,7871.168,8699.968,9083.541
"175",2023-07-02 05:00:00,8228.205,8226.168,7298.5,6737.107,7018.363,7673.292,7480.901,7871.469,8702.097,9083.927
"176",2023-07-02 05:10:00,8228.209,8227.681,7298.274,6737.11,7019.565,7673.367,7482.327,7871.469,8702.252,9085.439
"177",2023-07-02 05:20:00,8228.113,8228.113,7298.5,6737.712,7019.565,7674.569,7483.831,7871.469,8703.436,9085.334
"178",2023-07-02 05:30:00,8228.049,8228.275,7298.951,6739.243,7019.565,7674.645,7484.581,7871.469,8704.799,9085.264
"179",2023-07-02 05:40:00,8228.03,8229.087,7298.875,6739.681,7019.565,7674.645,7485.333,7871.469,8704.931,9085.242
"180",2023-07-02 05:50:00,8228.025,8230.968,7298.951,6739.978,7019.565,7675.922,7485.333,7871.469,8704.925,9085.236
"181",2023-07-02 06:00:00,8228.025,8231.043,7298.875,6739.978,7019.565,7677.198,7485.408,7871.469,8704.924,9085.312
"182",2023-07-02 06:10:00,8228.025,8231.345,7298.875,6739.978,7019.565,7677.499,7486.234,7871.469,8705.302,9085.236
"183",2023-07-02 06:20:00,8228.025,8231.948,7298.951,6739.978,7019.565,7677.499,7486.76,7871.469,8706.434,9085.312
"184",2023-07-02 06:30:00,8228.025,8232.553,7299.001,6739.978,7019.553,7677.323,7486.823,7871.53,8706.584,9085.613
"185",2023-07-02 06:40:00,8228.025,8232.401,7298.888,6739.978,7019.505,7677.283,7486.771,7871.401,8706.811,9085.312
"186",2023-07-02 06:50:00,8227.799,8232.553,7298.799,6739.978,7019.491,7677.419,7486.757,7871.387,8706.886,9085.613
"187",2023-07-02 07:00:00,8226.591,8232.477,7298.686,6739.978,7019.452,7677.304,7486.64,7871.342,8706.962,9085.538
"188",2023-07-02 07:10:00,8226.516,8232.477,7298.391,6739.978,7019.532,7677.087,7486.575,7871.432,8706.886,9085.613
"189",2023-07-02 07:20:00,8225.232,8232.553,7297.68,6739.978,7019.354,7676.667,7485.108,7871.232,8704.924,9085.312
"190",2023-07-02 07:30:00,8225.082,8232.326,7297.437,6739.978,7019.344,7675.448,7484.721,7871.22,8704.924,9085.387
"191",2023-07-02 07:40:00,8225.158,8232.553,7297.683,6739.827,7019.505,7674.797,7484.888,7871.017,8704.924,9085.312
"192",2023-07-02 07:50:00,8224.403,8232.326,7296.096,6738.62,7019.356,7674.332,7482.48,7869.732,8704.472,9085.236
"193",2023-07-02 08:00:00,8221.007,8231.269,7294.343,6736.959,7019.324,7672.653,7477.939,7867.217,8702.057,9085.085
"194",2023-07-02 08:10:00,8220.404,8231.043,7294.415,6736.959,7019.541,7671.53,7476.212,7866.849,8701.906,9085.236
"195",2023-07-02 08:20:00,8220.479,8231.043,7294.146,6736.959,7019.214,7671.248,7476.019,7866.568,8700.925,9085.236
"196",2023-07-02 08:30:00,8220.479,8231.043,7293.955,6736.959,7019.022,7671.047,7475.815,7866.353,8699.114,9085.236
"197",2023-07-02 08:40:00,8220.479,8231.043,7293.8,6736.959,7018.882,7670.884,7475.591,7866.196,8699.038,9085.236
"198",2023-07-02 08:50:00,8220.404,8231.043,7293.87,6736.959,7019.017,7670.958,7475.728,7866.263,8698.963,9085.236
"199",2023-07-02 09:00:00,8220.328,8231.043,7293.866,6736.959,7019.087,7670.953,7475.874,7866.258,8698.963,9085.236
"200",2023-07-02 09:10:00,8220.252,8231.043,7294.018,6736.959,7019.073,7671.113,7475.794,7866.41,8699.038,9085.01
"201",2023-07-02 09:20:00,8220.252,8231.043,7293.976,6736.959,7019.043,7671.069,7475.762,7866.376,8698.888,9083.728
"202",2023-07-02 09:30:00,8220.102,8231.043,7293.948,6736.959,7019.017,7671.04,7475.733,7866.347,8698.888,9083.728
"203",2023-07-02 09:40:00,8220.328,8231.043,7294.147,6736.959,7019.198,7671.25,7475.927,7866.55,8698.888,9083.501
"204",2023-07-02 09:50:00,8220.479,8231.043,7294.177,6736.959,7019.237,7671.281,7475.969,7866.594,8698.888,9083.651
"205",2023-07-02 10:00:00,8220.404,8231.043,7294.354,6736.959,7019.405,7671.468,7476.223,7866.782,8698.888,9083.425
"206",2023-07-02 10:10:00,8221.158,8231.043,7294.51,6736.959,7019.413,7671.473,7476.155,7866.791,8698.888,9083.651
